DATE,ACTUAL,DEV,CONS
03/07/2023,3.6,0,3.6
02/07/2023,3.35,0,3.35
12/06/2022,3.1,0,3.1
11/01/2022,2.85,0,2.85
10/04/2022,2.6,-2.55,2.85
09/06/2022,2.35,0,2.35
08/02/2022,1.85,0,1.85
07/05/2022,1.35,0,1.35
06/07/2022,0.85,6.25,0.6
05/03/2022,0.35,0,0.25
04/05/2022,0.1,0,0.1
03/01/2022,0.1,0,0.1
02/01/2022,0.1,0,0.1
12/07/2021,0.1,0,0.1
11/02/2021,0.1,0,0.1
10/05/2021,0.1,0,0.1
09/07/2021,0.1,0,0.1
08/03/2021,0.1,0,0.1
07/06/2021,0.1,0,0.1
06/01/2021,0.1,0,0.1
05/04/2021,0.1,0,0.1
04/06/2021,0.1,0,0.1
03/02/2021,0.1,0,0.1
02/02/2021,0.1,0,0.1
12/01/2020,0.1,0,0.1
11/03/2020,0.1,0,0.1
10/06/2020,0.25,0,0.25
09/01/2020,0.25,0,0.25
08/04/2020,0.25,0,0.25
07/07/2020,0.25,0,0.25
06/02/2020,0.25,0,0.25
05/05/2020,0.25,0,0.25
04/07/2020,0.25,,
03/19/2020,0.25,,
03/03/2020,0.5,0,0.75
02/04/2020,0.75,0,0.75
12/03/2019,0.75,0,0.75
11/05/2019,0.75,0,0.75
10/01/2019,0.75,0,0.75
09/03/2019,1,0,1
08/06/2019,1,0,1
07/02/2019,1,0,1
06/04/2019,1.25,,1.25
05/07/2019,1.5,,1.5
04/02/2019,1.5,,1.5
03/05/2019,1.5,,1.5
02/05/2019,1.5,,1.5
12/04/2018,1.5,0,1.5
11/06/2018,1.5,0,1.5
10/02/2018,1.5,0,1.5
09/04/2018,1.5,0,1.5
08/07/2018,1.5,0,1.5
07/03/2018,1.5,0,1.5
06/05/2018,1.5,0,1.5
05/01/2018,1.5,0,1.5
04/03/2018,1.5,0,1.5
03/06/2018,1.5,0,1.5
02/06/2018,1.5,0,1.5
12/05/2017,1.5,0,1.5
11/07/2017,1.5,0,1.5
10/03/2017,1.5,0,1.5
09/05/2017,1.5,0,1.5
08/01/2017,1.5,0,1.5
07/04/2017,1.5,0,1.5
06/06/2017,1.5,0,1.5
05/02/2017,1.5,0,1.5
04/04/2017,1.5,0,1.5
03/07/2017,1.5,0,1.5
02/07/2017,1.5,0,1.5
12/06/2016,1.5,0,1.5
11/01/2016,1.5,0,1.5
10/04/2016,1.5,0,1.5
09/06/2016,1.5,0,1.5
08/02/2016,1.5,0,1.5
07/05/2016,1.75,0,1.75
06/07/2016,1.75,0,1.75
05/03/2016,1.75,0,2
04/05/2016,2,0,2
03/01/2016,2,0,2
02/02/2016,2,0,2
12/01/2015,2,0,2
11/03/2015,2,0,2
10/06/2015,2,0,2
09/01/2015,2,0,2
08/04/2015,2,0,2
07/07/2015,2,0,2
06/02/2015,2,0,2
05/05/2015,2,0,2
04/07/2015,2.25,0,2.25
03/03/2015,2.25,2.5,2
02/03/2015,2.25,0,2.5
12/02/2014,2.5,0,2.5
11/04/2014,2.5,0,2.5
10/07/2014,2.5,0,2.5
09/02/2014,2.5,0,2.5
08/05/2014,2.5,0,2.5
07/01/2014,2.5,0,2.5
06/03/2014,2.5,0,2.5
05/06/2014,2.5,0,2.5
04/01/2014,2.5,0,2.5
03/04/2014,2.5,0,2.5
02/04/2014,2.5,0,2.5
12/03/2013,2.5,0,2.5
11/05/2013,2.5,0,2.5
10/01/2013,2.5,0,2.5
09/03/2013,2.5,0,2.5
08/06/2013,2.5,0,2.5
07/02/2013,2.75,0,2.75
06/04/2013,2.75,0,2.75
05/07/2013,2.75,-2.5,3
04/02/2013,3,0,3
03/05/2013,3,0,3
02/05/2013,3,0,3
12/04/2012,3,0,3
11/06/2012,3.25,2.5,3
10/02/2012,3.25,-2.5,3.5
09/04/2012,3.5,0,3.5
08/07/2012,3.5,0,3.5
07/03/2012,3.5,0,3.5
06/05/2012,3.5,0,3.5
05/01/2012,3.75,-1.58,4
04/03/2012,4.25,0,4.25
03/06/2012,4.25,0,4.25
02/07/2012,4.25,2.5,4
12/06/2011,4.25,0,4.25
11/01/2011,4.5,0,4.75
10/04/2011,4.75,0,4.75
09/06/2011,4.75,0,4.75
08/02/2011,4.75,,4.75
07/05/2011,4.75,,4.75
06/07/2011,4.75,,4.75
05/03/2011,4.75,,4.75
04/05/2011,4.75,0,4.75
03/01/2011,4.75,0,4.75
02/01/2011,4.75,0,4.75
12/07/2010,4.75,,4.75
11/02/2010,4.75,,4.75
10/05/2010,4.5,,4.75
09/07/2010,4.5,,4.5
08/03/2010,4.5,,4.5
07/06/2010,4.5,,4.5
06/01/2010,4.5,,4.5
05/04/2010,4.5,,4.5
04/06/2010,4.25,,4.25
03/02/2010,4,,4
02/02/2010,3.75,,4
12/01/2009,3.75,,3.75
11/03/2009,3.5,,3.5
10/06/2009,3.25,,3
09/01/2009,3,,3
08/04/2009,3,,3
07/07/2009,3,,3
06/02/2009,3,,3
05/05/2009,3,,3
04/07/2009,3,,3.25
03/03/2009,3.25,,3
02/03/2009,3.25,,3.25
12/02/2008,4.25,,4.5
11/04/2008,5.25,,5.5
10/07/2008,6,,6.5
09/02/2008,7,,7
08/05/2008,7.25,,7.25
07/01/2008,7.25,,7.25
06/03/2008,7.25,,7.25
05/06/2008,7.25,,7.25
04/01/2008,7.25,,
03/04/2008,7.25,,7.25
02/05/2008,7,,7
12/04/2007,6.75,,6.75
11/06/2007,6.75,,6.75
10/02/2007,6.5,,6.5
09/04/2007,6.5,,6.5
08/07/2007,6.5,,6.5
07/03/2007,6.25,,
06/05/2007,6.25,,6.25
11/08/2006,6.25,,
08/02/2006,6,,
