DATE,ACTUAL,DEV,CONS
03/23/2023,4.25,0,4.25
02/02/2023,4,0,4
12/15/2022,3.5,0,3.5
11/03/2022,3,0,3
09/22/2022,2.25,0,2.25
08/04/2022,1.75,0,1.75
06/16/2022,1.25,0,1.25
05/05/2022,1,0,1
03/17/2022,0.75,0,0.75
02/03/2022,0.5,0,0.5
12/16/2021,0.25,0,0.1
11/04/2021,0.1,0,0.1
09/23/2021,0.1,0,0.1
08/05/2021,0.1,0,0.1
06/24/2021,0.1,0,0.1
05/06/2021,0.1,0,0.1
03/18/2021,0.1,0,0.1
02/04/2021,0.1,0,0.1
12/17/2020,0.1,0,0.1
11/05/2020,0.1,0,0.1
09/17/2020,0.1,0,0.1
08/06/2020,0.1,0,0.1
06/18/2020,0.1,0,0.1
05/07/2020,0.1,0,0.1
03/26/2020,0.1,,
03/19/2020,0.1,,
03/11/2020,0.25,,
01/30/2020,0.75,0,0.75
12/19/2019,0.75,0,0.75
11/07/2019,0.75,0,0.75
09/19/2019,0.75,0,0.75
08/01/2019,0.75,0,0.75
06/20/2019,0.75,,0.75
05/02/2019,0.75,,0.75
03/21/2019,0.75,,0.75
02/07/2019,0.75,,0.75
12/20/2018,0.75,,
11/01/2018,0.75,0,0.75
09/13/2018,0.75,0,0.75
08/02/2018,0.75,0,0.75
06/21/2018,0.5,0,0.5
05/10/2018,0.5,0,0.5
03/22/2018,0.5,,0.5
02/08/2018,0.5,,0.5
12/14/2017,0.5,0,0.5
11/02/2017,0.5,0,0.5
09/14/2017,0.25,,0.25
08/03/2017,0.25,0,0.25
06/15/2017,0.25,0,0.25
05/11/2017,0.25,0,0.25
03/16/2017,0.25,0,0.25
02/02/2017,0.25,0,0.25
12/15/2016,0.25,0,0.25
11/03/2016,0.25,0,0.25
09/15/2016,0.25,0,0.25
08/04/2016,0.25,0,0.25
07/14/2016,0.5,0,0.25
06/16/2016,0.5,0,0.5
05/12/2016,0.5,0,0.5
04/14/2016,0.5,0,0.5
03/17/2016,0.5,0,0.5
02/04/2016,0.5,0,0.5
01/14/2016,0.5,0,0.5
12/10/2015,0.5,0,0.5
11/05/2015,0.5,0,0.5
10/08/2015,0.5,0,0.5
