DATE,ACTUAL,DEV,CONS
03/08/2023,4.5,0,4.5
01/25/2023,4.5,0,4.5
12/07/2022,4.25,0,4.25
10/26/2022,3.75,-2.5,4
09/07/2022,3.25,0,3.25
07/13/2022,2.5,0,2.25
06/01/2022,1.5,0,1.5
04/13/2022,1,0,1
03/02/2022,0.5,0,0.5
01/26/2022,0.25,0,0.25
12/08/2021,0.25,0,0.25
10/27/2021,0.25,0,0.25
09/08/2021,0.25,0,0.25
07/14/2021,0.25,0,0.25
06/09/2021,0.25,0,0.25
04/21/2021,0.25,0,0.25
03/10/2021,0.25,0,0.25
01/20/2021,0.25,0,0.25
12/09/2020,0.25,0,0.25
10/28/2020,0.25,0,0.25
09/09/2020,0.25,0,0.25
07/15/2020,0.25,0,0.25
06/03/2020,0.25,0,0.25
04/15/2020,0.25,0,0.25
03/27/2020,0.25,,
03/13/2020,0.75,,
03/04/2020,1.25,0,1.5
01/22/2020,1.75,0,1.75
12/04/2019,1.75,0,1.75
10/30/2019,1.75,0,1.75
09/04/2019,1.75,0,1.75
07/10/2019,1.75,0,1.75
05/29/2019,1.75,0,1.75
04/24/2019,1.75,0,1.75
03/06/2019,1.75,0,1.75
01/09/2019,1.75,,1.75
12/05/2018,1.75,0,1.75
10/24/2018,1.75,0,1.75
09/05/2018,1.5,0,1.5
07/11/2018,1.5,0,1.5
05/30/2018,1.25,0,1.25
04/18/2018,1.25,0,1.25
03/07/2018,1.25,0,1.25
01/17/2018,1.25,0,1.25
12/06/2017,1,0,1
10/25/2017,1,0,1
09/06/2017,1,0,0.75
07/12/2017,0.75,0,0.75
05/24/2017,0.5,0,0.5
04/12/2017,0.5,0,0.5
03/01/2017,0.5,0,0.5
01/18/2017,0.5,0,0.5
12/07/2016,0.5,0,0.5
10/19/2016,0.5,0,0.5
09/07/2016,0.5,,0.5
07/13/2016,0.5,0,0.5
05/25/2016,0.5,0,0.5
04/13/2016,0.5,0,0.5
03/09/2016,0.5,0,0.5
01/20/2016,0.5,0,0.5
12/02/2015,0.5,0,0.5
10/21/2015,0.5,0,0.5
09/09/2015,0.5,0,0.5
07/15/2015,0.5,-2.5,0.75
05/27/2015,0.75,0,0.75
04/15/2015,0.75,0,0.75
03/04/2015,0.75,0,0.75
01/21/2015,0.75,0,1
12/03/2014,1,0,1
10/22/2014,1,0,1
09/03/2014,1,0,1
07/16/2014,1,0,1
06/04/2014,1,0,1
04/16/2014,1,0,1
03/05/2014,1,0,1
01/22/2014,1,0,1
12/04/2013,1,0,1
10/23/2013,1,0,1
09/04/2013,1,0,1
07/17/2013,1,0,1
05/29/2013,1,0,1
04/17/2013,1,0,1
03/06/2013,1,0,1
01/23/2013,1,0,1
12/04/2012,1,0,1
10/23/2012,1,0,1
09/05/2012,1,0,1
07/17/2012,1,0,1
06/05/2012,1,0,1
04/17/2012,1,0,1
03/08/2012,1,0,1
01/17/2012,1,0,1
12/06/2011,1,0,1
10/25/2011,1,0,1
09/07/2011,1,0,1
07/19/2011,1,,1
05/31/2011,1,,1
04/12/2011,1,,1
03/01/2011,1,,1
01/18/2011,1,,1
12/07/2010,1,,1
10/19/2010,1,,1
09/08/2010,1,,1
07/20/2010,0.75,,0.75
06/01/2010,0.5,,0.5
04/20/2010,0.25,,0.25
03/02/2010,0.25,,0.25
01/19/2010,0.25,,0.25
12/08/2009,0.25,,0.25
10/20/2009,0.25,,0.25
09/10/2009,0.25,,0.25
07/21/2009,0.25,,0.25
06/04/2009,0.25,,0.25
04/21/2009,0.25,,0.5
03/03/2009,0.5,,0.5
01/20/2009,1,,1
12/09/2008,1.5,,1.75
10/21/2008,2.25,,2
10/08/2008,2.5,,
09/03/2008,3,,3
07/15/2008,3,,3
06/10/2008,3,,2.75
04/22/2008,3,,3
03/04/2008,3.5,,3.75
01/22/2008,4,,4
12/04/2007,4.25,,4.5
10/16/2007,4.5,,4.5
09/05/2007,4.5,,4.5
07/10/2007,4.5,,4.5
05/29/2007,4.25,,4.25
05/24/2006,4.25,,
04/25/2006,4,,
03/07/2006,3.75,,
01/24/2006,3.5,,
12/06/2005,3.25,,
10/18/2005,3,,
09/07/2005,2.75,,
10/19/2004,2.5,,
09/08/2004,2.25,,
04/13/2004,2,,
03/02/2004,2.25,,
01/20/2004,2.5,,
