DATE,ACTUAL,DEV,CONS
03/20/2023,3.65,,3.65
02/20/2023,3.65,,
01/20/2023,3.65,,
12/20/2022,3.65,,
11/21/2022,3.65,,
10/20/2022,3.65,,
09/20/2022,3.65,,
08/22/2022,3.65,,
07/20/2022,3.7,,
06/20/2022,3.7,,
05/20/2022,3.7,,
04/20/2022,3.7,,
03/21/2022,3.7,,
02/21/2022,3.7,,
01/20/2022,3.7,,
12/20/2021,3.8,,
11/22/2021,3.85,,
10/20/2021,3.85,,
09/22/2021,3.85,,
08/20/2021,3.85,,
07/20/2021,3.85,,
06/21/2021,3.85,,
05/20/2021,3.85,,
04/20/2021,3.85,,
03/22/2021,3.85,,
02/20/2021,3.85,,
01/20/2021,3.85,,
12/21/2020,3.85,,3.85
11/20/2020,3.85,,
10/20/2020,3.85,,
09/21/2020,3.85,,
08/20/2020,3.85,,
07/20/2020,3.85,,
06/22/2020,3.85,,
05/20/2020,3.85,,
04/20/2020,3.85,,
03/20/2020,4.05,,
02/20/2020,4.05,,
01/20/2020,4.15,,
12/20/2019,4.15,,
11/20/2019,4.15,,4.2
10/21/2019,4.2,,
09/20/2019,4.2,,
08/21/2019,4.25,,
10/23/2015,4.35,,
08/25/2015,4.6,,
06/26/2015,4.85,,
05/10/2015,5.1,,
02/28/2015,5.35,,
11/21/2014,5.6,,
07/05/2012,6,,
06/07/2012,6.31,,
07/06/2011,6.56,,
04/05/2011,6.31,,
02/08/2011,6.06,,
12/26/2010,5.81,,
10/19/2010,5.56,,
12/22/2008,5.31,,
11/26/2008,5.58,,
10/29/2008,6.66,,
10/08/2008,6.93,,
09/15/2008,7.2,,
12/20/2007,7.47,,
09/14/2007,7.29,,
08/21/2007,7.02,,
07/20/2007,6.84,,
05/18/2007,6.57,,
03/19/2007,6.39,,
