DATE,ACTUAL,DEV,CONS
02/08/2023,6.5,0,6.5
12/07/2022,6.25,0,6.25
09/30/2022,5.9,0,5.9
08/05/2022,5.4,3.75,5.25
06/08/2022,4.9,0,4.8
05/04/2022,4.4,,
04/08/2022,4,0,4
02/10/2022,4,0,4
12/08/2021,4,0,4
10/08/2021,4,,
08/06/2021,4,0,4
06/04/2021,4,0,4
04/07/2021,4,0,4
02/05/2021,4,0,4
12/04/2020,4,0,4
10/09/2020,4,0,4
08/06/2020,4,0.75,3.75
05/22/2020,4,,
03/27/2020,4.4,-6.43,5.15
02/06/2020,5.15,0,5.15
12/05/2019,5.15,2.55,4.9
10/04/2019,5.15,0,5.15
08/07/2019,5.4,-1,5.5
06/06/2019,5.75,0,5.75
04/04/2019,6,,6
02/07/2019,6.25,,6.5
12/05/2018,6.5,,
10/05/2018,6.5,,
08/01/2018,6.5,,
06/06/2018,6.25,,
04/02/2018,6,,
02/07/2018,6,,6
12/06/2017,6,0,6
10/04/2017,6,0,6
08/02/2017,6,0,6
06/07/2017,6.25,0,6.25
04/06/2017,6.25,,
02/08/2017,6.25,,
12/07/2016,6.25,,
10/04/2016,6.25,,
08/09/2016,6.5,,
06/07/2016,6.5,,
04/05/2016,6.5,,
02/02/2016,6.75,,
12/01/2015,6.75,,
09/29/2015,6.75,,
08/04/2015,7.25,,
06/02/2015,7.25,,
04/07/2015,7.5,,
03/03/2015,7.5,,
01/15/2015,7.75,,
12/02/2014,8,,
09/30/2014,8,,
06/02/2014,8,,
04/01/2014,8,,
01/28/2014,8,,
12/18/2013,7.75,,
10/29/2013,7.75,,
09/20/2013,7.5,,
07/30/2013,7.25,,
06/17/2013,7.25,,
05/03/2013,7.25,,
03/19/2013,7.5,,
01/29/2013,7.75,,
12/18/2012,8,,
10/30/2012,8,,
09/17/2012,8,,
07/31/2012,8,0,8
06/18/2012,8,,
04/17/2012,8,,
01/24/2012,8.5,,
12/16/2011,8.5,,
10/25/2011,8.5,,
09/15/2011,8.25,,
07/26/2011,8,,
05/03/2011,7.25,,
03/17/2011,6.75,,
01/25/2011,6.5,,
11/02/2010,6.25,,
09/16/2010,6,,
07/27/2010,5.75,,
07/02/2010,5.5,,
04/20/2010,5.25,,
03/19/2010,5,,
04/21/2009,4.75,,
03/05/2009,5,,
01/02/2009,5.5,,
12/08/2008,6.5,,
11/01/2008,7.5,,
10/20/2008,8,,
10/10/2008,9,,
07/29/2008,9,,
06/13/2008,8.5,,
06/11/2008,8,,
04/24/2007,7.75,,
