DATE,ACTUAL,DEV,CONS
03/10/2023,-0.1,0,-0.1
01/18/2023,-0.1,,
12/20/2022,-0.1,,
10/28/2022,-0.1,0,-0.1
09/22/2022,-0.1,0,-0.1
07/21/2022,-0.1,0,-0.1
06/17/2022,-0.1,0,-0.1
04/28/2022,-0.1,0,-0.1
03/18/2022,-0.1,0,-0.1
01/18/2022,-0.1,0,-0.1
12/17/2021,-0.1,0,-0.1
10/28/2021,-0.1,0,-0.1
09/22/2021,-0.1,,
07/16/2021,-0.1,0,-0.1
06/18/2021,-0.1,0,-0.1
04/27/2021,-0.1,0,-0.1
03/19/2021,-0.1,0,-0.1
01/21/2021,-0.1,0,-0.1
12/18/2020,-0.1,0,-0.1
10/29/2020,-0.1,0,-0.1
09/17/2020,-0.1,0,-0.1
07/15/2020,-0.1,0,-0.1
06/16/2020,-0.1,,
05/22/2020,-0.1,,
04/27/2020,-0.1,0,-0.1
03/16/2020,-0.1,0,-0.1
01/21/2020,-0.1,0,-0.1
12/19/2019,-0.1,0,-0.1
10/31/2019,-0.1,0,-0.1
09/19/2019,-0.1,0,-0.1
07/30/2019,-0.1,0,-0.1
06/20/2019,-0.1,,-0.1
04/25/2019,-0.1,,-0.1
03/15/2019,-0.1,,-0.1
01/23/2019,-0.1,,-0.1
12/20/2018,-0.1,0,-0.1
10/31/2018,-0.1,,
09/19/2018,-0.1,0,-0.1
07/31/2018,-0.1,0,-0.1
06/15/2018,-0.1,0,-0.1
04/27/2018,-0.1,0,-0.1
03/09/2018,-0.1,0,-0.1
01/23/2018,-0.1,0,-0.1
12/21/2017,-0.1,0,-0.1
10/31/2017,-0.1,0,-0.1
09/21/2017,-0.1,0,-0.1
07/20/2017,-0.1,0,-0.1
06/16/2017,-0.1,0,-0.1
04/27/2017,-0.1,0,-0.1
03/16/2017,-0.1,0,-0.1
01/31/2017,-0.1,0,-0.1
12/20/2016,-0.1,0,-0.1
11/01/2016,-0.1,0,-0.1
09/21/2016,-0.1,0,-0.1
