DATE,ACTUAL,DEV,CONS
02/22/2023,4.75,0,4.75
11/23/2022,4.25,0,4.25
10/05/2022,3.5,0,3.5
08/17/2022,3,0,3
07/13/2022,2.5,0,2.5
05/25/2022,2,0,2
04/13/2022,1.5,2.5,1.25
02/23/2022,1,0,1
11/24/2021,0.75,0,0.75
10/06/2021,0.5,0,0.5
08/18/2021,0.25,0,0.5
07/14/2021,0.25,0,0.25
05/26/2021,0.25,0,0.25
04/14/2021,0.25,0,0.25
02/24/2021,0.25,0,0.25
11/11/2020,0.25,0,0.25
09/23/2020,0.25,0,0.25
08/12/2020,0.25,0,0.25
06/24/2020,0.25,0,0.25
05/13/2020,0.25,0,0.25
03/15/2020,0.25,,
02/12/2020,1,0,1
11/13/2019,1,2.5,0.75
09/25/2019,1,0,1
08/07/2019,1,0,1.25
06/26/2019,1.5,,1.5
05/08/2019,1.5,,1.5
03/27/2019,1.75,,1.75
02/13/2019,1.75,,1.75
11/07/2018,1.75,0,1.75
09/26/2018,1.75,0,1.75
08/08/2018,1.75,0,1.75
06/27/2018,1.75,0,1.75
05/09/2018,1.75,0,1.75
03/21/2018,1.75,0,1.75
02/07/2018,1.75,0,1.75
11/08/2017,1.75,0,1.75
09/27/2017,1.75,0,1.75
08/09/2017,1.75,0,1.75
06/21/2017,1.75,0,1.75
05/10/2017,1.75,0,1.75
03/22/2017,1.75,0,1.75
02/08/2017,1.75,0,1.75
11/09/2016,1.75,0,1.75
09/21/2016,2,0,2
08/10/2016,2,0,2
06/08/2016,2.25,0,2.25
04/27/2016,2.25,0,2.25
03/09/2016,2.25,0,2.5
01/27/2016,2.5,0,2.5
12/09/2015,2.5,0,2.5
10/28/2015,2.75,0,2.75
09/09/2015,2.75,0,2.75
07/22/2015,3,0,3
06/10/2015,3.25,0,3.5
04/29/2015,3.5,0,3.5
03/11/2015,3.5,0,3.5
01/28/2015,3.5,0,3.5
12/10/2014,3.5,0,3.5
10/29/2014,3.5,0,3.5
09/10/2014,3.5,0,3.5
07/23/2014,3.5,0,3.5
06/11/2014,3.25,0,3.25
04/23/2014,3,0,3
03/12/2014,2.75,0,2.75
01/29/2014,2.5,0,2.5
12/11/2013,2.5,0,2.5
10/30/2013,2.5,0,2.5
09/11/2013,2.5,0,2.5
07/24/2013,2.5,0,2.5
06/12/2013,2.5,0,2.5
04/23/2013,2.5,0,2.5
03/13/2013,2.5,0,2.5
01/30/2013,2.5,0,2.5
12/05/2012,2.5,0,2.5
10/24/2012,2.5,0,2.5
09/12/2012,2.5,0,2.5
07/25/2012,2.5,0,2.5
06/13/2012,2.5,0,2.5
04/25/2012,2.5,0,2.5
03/07/2012,2.5,0,2.5
01/25/2012,2.5,0,2.5
12/07/2011,2.5,0,2.5
10/26/2011,2.5,0,2.5
09/14/2011,2.5,0,2.5
07/27/2011,2.5,0,2.5
06/08/2011,2.5,0,2.5
04/27/2011,2.5,0,2.5
03/09/2011,2.5,,2.75
01/26/2011,3,,3
12/08/2010,3,,3
10/27/2010,3,,3
09/15/2010,3,,3
07/28/2010,3,,3
06/09/2010,2.75,,2.75
04/28/2010,2.5,,2.5
03/10/2010,2.5,,2.5
01/27/2010,2.5,,2.5
12/09/2009,2.5,,2.5
10/28/2009,2.5,,2.5
09/09/2009,2.5,,2.5
06/10/2009,2.5,,2.25
04/30/2009,2.5,,
04/29/2009,2.5,,2.5
03/11/2009,3,,2.75
01/28/2009,3.5,,4
12/03/2008,5,,5
10/22/2008,6.5,,6.5
09/10/2008,7.5,,7.75
07/23/2008,8,,8.25
06/04/2008,8.25,,8.25
04/23/2008,8.25,,8.25
03/05/2008,8.25,,8.25
01/23/2008,8.25,,8.25
12/05/2007,8.25,,8.25
10/24/2007,8.25,,8.25
09/12/2007,8.25,,8.25
07/25/2007,8.25,,8.25
06/06/2007,8,,
04/26/2007,7.75,,
