DATE,ACTUAL,DEV,CONS
03/23/2023,1.5,0,1.5
12/15/2022,1,0,1
09/22/2022,0.5,0,0.5
06/16/2022,-0.25,0,-0.75
03/24/2022,-0.75,0,-0.75
12/16/2021,-0.75,0,-0.75
09/23/2021,-0.75,,-0.75
06/17/2021,-0.75,0,-0.75
03/25/2021,-0.75,0,-0.75
12/17/2020,-0.75,0,-0.75
09/24/2020,-0.75,0,-0.75
06/18/2020,-0.75,0,-0.75
03/19/2020,-0.75,0,-0.75
12/12/2019,-0.75,0,-0.75
09/19/2019,-0.75,0,-0.75
06/13/2019,-0.75,0,-0.75
03/21/2019,-0.75,0,-0.75
12/13/2018,-0.75,0,-1.25
11/13/2018,-0.75,,-0.75
09/20/2018,-0.75,0,-0.75
06/21/2018,-0.75,0,-0.75
03/15/2018,-0.75,0,-0.75
12/14/2017,-0.75,0,-0.75
09/14/2017,-0.75,0,-0.75
06/15/2017,-0.75,0,-0.75
03/16/2017,-0.75,0,-0.75
12/15/2016,-0.75,0,-0.75
09/15/2016,-0.75,0,-0.75
06/16/2016,-0.75,0,-0.75
03/17/2016,-0.75,0,-0.75
12/10/2015,-0.75,0,-0.75
09/17/2015,-0.75,,
06/18/2015,-0.75,0,-0.75
03/19/2015,-0.75,0,-0.75
01/15/2015,-0.75,,
12/18/2014,-0.25,,
12/11/2014,0,0,0
09/18/2014,0,,
06/19/2014,0,,
03/20/2014,0,,
12/12/2013,0,,
09/19/2013,0,0,0
06/20/2013,0,0,0
03/14/2013,0,,
12/13/2012,0,,
09/13/2012,0,0,0
06/14/2012,0,,
03/15/2012,0,0,0
12/15/2011,0,0,0
09/15/2011,0,,
08/03/2011,0,,
06/16/2011,0.25,,0.25
03/17/2011,0.25,,0.25
12/16/2010,0.25,,
09/16/2010,0.25,,0.25
06/17/2010,0.25,,0.25
03/11/2010,0.25,,0.25
12/10/2009,0.25,,0.25
09/17/2009,0.25,,0.25
06/18/2009,0.25,,0.25
03/12/2009,0.25,,0.25
12/11/2008,0.5,,0.5
11/20/2008,1,,
11/06/2008,2,,
10/08/2008,2.5,,
09/18/2008,2.75,,2.75
06/19/2008,2.75,,2.75
03/13/2008,2.75,,2.75
12/13/2007,2.75,,2.75
09/13/2007,2.75,,
06/14/2007,2.5,,
03/15/2007,2.25,,
