DATE,ACTUAL,DEV,CONS
03/22/2023,5,0,5
02/01/2023,4.75,0,4.75
12/14/2022,4.5,0,4.5
11/02/2022,4,0,4
09/21/2022,3.25,0,3.25
07/27/2022,2.5,0,2.5
06/15/2022,1.75,0,1.5
05/04/2022,1,0,1
03/16/2022,0.5,0,0.5
01/26/2022,0.25,0,0.25
12/15/2021,0.25,0,0.25
11/03/2021,0.25,0,0.25
09/22/2021,0.25,,
07/28/2021,0.25,0,0.25
06/16/2021,0.25,0,0.25
04/28/2021,0.25,0,0.25
03/17/2021,0.25,0,0.25
01/27/2021,0.25,0,0.25
12/16/2020,0.25,0,0.25
11/05/2020,0.25,0,0.25
09/16/2020,0.25,0,0.25
07/29/2020,0.25,0,0.25
06/10/2020,0.25,0,0.25
04/29/2020,0.25,0,0.25
03/15/2020,0.25,,
03/03/2020,1.25,,
01/29/2020,1.75,0,1.75
12/11/2019,1.75,0,1.75
10/30/2019,1.75,0,1.75
09/18/2019,2,0,2
07/31/2019,2.25,0,2.25
06/19/2019,2.5,,2.5
05/01/2019,2.5,,2.5
03/20/2019,2.5,,2.5
01/30/2019,2.5,,2.5
12/19/2018,2.5,0,2.5
11/08/2018,2.25,0,2.25
09/26/2018,2.25,0,2.25
08/01/2018,2,0,2
06/13/2018,2,0,2
05/02/2018,1.75,0,1.75
03/21/2018,1.75,0,1.75
01/31/2018,1.5,0,1.5
12/13/2017,1.5,0,1.5
11/01/2017,1.25,0,1.25
09/20/2017,1.25,0,1.25
07/26/2017,1.25,0,1.25
06/14/2017,1.25,0,1.25
05/03/2017,1,0,1
03/15/2017,1,0,1
02/01/2017,0.75,,
12/14/2016,0.75,0,0.75
11/02/2016,0.5,0,0.5
09/21/2016,0.5,0,0.5
07/27/2016,0.5,0,0.5
06/15/2016,0.5,0,0.5
04/27/2016,0.5,0,0.5
03/16/2016,0.5,0,0.5
01/27/2016,0.5,0,0.5
12/16/2015,0.5,0,0.5
10/28/2015,0.25,0,0.25
09/17/2015,0.25,0,0.25
07/29/2015,0.25,0,0.25
06/17/2015,0.25,0,0.25
04/29/2015,0.25,0,0.25
03/18/2015,0.25,0,0.25
01/28/2015,0.25,0,0.25
12/17/2014,0.25,,
10/29/2014,0.25,0,0.25
09/17/2014,0.25,,
07/30/2014,0.25,0,0.25
06/18/2014,0.25,,
04/30/2014,0.25,0,0.25
03/19/2014,0.25,0,0.25
01/29/2014,0.25,0,0.25
12/18/2013,0.25,0,0.25
10/30/2013,0.25,0,0.25
09/18/2013,0.25,0,0.25
07/31/2013,0.25,0,0.25
06/19/2013,0.25,0,0.25
05/01/2013,0.25,0,0.25
03/20/2013,0.25,0,0.25
01/30/2013,0.25,0,0.25
12/12/2012,0.25,0,0.25
10/24/2012,0.25,0,0.25
09/13/2012,0.25,0,0.25
08/01/2012,0.25,0,0.25
06/20/2012,0.25,0,0.25
04/25/2012,0.25,0,0.25
03/13/2012,0.25,0,0.25
01/25/2012,0.25,0,0.25
12/13/2011,0.25,0,0.25
11/02/2011,0.25,0,0.25
09/21/2011,0.25,0,0.25
08/09/2011,0.25,,0.25
06/22/2011,0.25,,0.25
04/27/2011,0.25,,0.25
03/15/2011,0.25,,0.25
01/26/2011,0.25,,0.25
12/14/2010,0.25,,0.25
11/03/2010,0.25,,0.25
09/21/2010,0.25,,0.25
08/10/2010,0.25,,0.25
06/23/2010,0.25,,0.25
04/28/2010,0.25,,0.25
03/16/2010,0.25,,0.25
01/27/2010,0.25,,0.25
12/16/2009,0.25,,0.25
11/04/2009,0.25,,0.25
09/23/2009,0.25,,0.25
08/12/2009,0.25,,0.25
06/24/2009,0.25,,0.25
04/29/2009,0.25,,0.25
03/18/2009,0.25,,0.25
01/28/2009,0.25,,0.25
12/16/2008,0.25,,0.5
10/29/2008,1,,1
10/08/2008,1.5,,
09/16/2008,2,,2
08/05/2008,2,,2
06/25/2008,2,,2
04/30/2008,2,,2
03/18/2008,2.25,,2.5
01/30/2008,3,,3.25
01/22/2008,3.5,,
12/11/2007,4.25,,4.25
10/31/2007,4.5,,4.5
09/18/2007,4.75,,5
08/07/2007,5.25,,5.25
06/28/2007,5.25,,
05/09/2007,5.25,,5.25
06/29/2006,5.25,,5.25
